job_name,company_name,job_type,job_category,job_sub_category,sallary,job_id,job_desc
Data Analyst,PT Otewe Maju Bersama,Full,"Matematika, Statistik & Teknik InformasiMatematika, Statistik & Teknik Informasi",Sains,,79029887,"KUALIFIKASI1. Pendidikan min. S1 Jurusan Matematika, Statistika, Ilmu Komputer, Ekonomi, TeknikIndustri atau bidang terkait lainnya.2. Pengalaman min. 1 - 3 tahun sebagai Data Analyst.3. Familiar dengan tools analitik, seperti; Excel, SQL, R, atau Phyton.4. Memahami software visualisasi data, seperti; Tableu, Power BI, atau Google DataStudio.5. Kemampuan dalam analisis statistic dan pengolahan data.JOB DESKRIPSI1. Membuat dan menganalisa sales dan material usage inventory.2. Menganalisa dan merekomendasikan range harga beli bahan baku untuk PurchasingDept.3. Membuat, menganalisa, dan memberikan saran perhitungan optimalisasi cost menu paket/ promo / new product launch.4. Membuat laporan berkala dan dashboard visual yang mudah dipahami untukmenampilkan hasil analisis.5. Mengidentifikasi masalah dalam data dan memberikan solusi yang berdasarkan analisismendalam."
Data Analyst,Peluang Kerjaku,Full,Pengembangan Bisnis BaruPengembangan Bisnis Baru,Penjualan(Penjualan)7,,79060934,"1. Membuat laporan hasil akuisisi sales secara harian, mingguan dan bulanan
2. Membuat analisa bisnis bulanan dan tahunan
3. Memproses data klien
4. Membuat Invoice
5. Membuat dan atau Mengembangkan tools yang berkaitan dengan pekerjaan
- Pria/Wanita
- Tanpa Pengalaman Bekerja
- Tidak ada minimal pendidikan
- Tidak ada batasan usia
- Terima kandidat tanpa foto diri 
- Provinsi sesuai penempatan kerja (DKI Jakarta)"
Data Center Operator Monitoring (shifting - linux),"PT. Metrodata Electronics, Tbk",Kontrak,Administrasi Jaringan & SistemAdministrasi Jaringan & Sistem,Teknologi,,79100548,"Deskripsi Pekerjaan :MelakukanMonitoring terkait Availability Perangkat Data Center 24/7 (Server, Network, Storagey, dll)Melakukan proses dan aktifitas Batch Job Harian Perangkat Server dan NetworkMelakukan Analisa dan Troubleshooting awal apabila terjadi problem pada Perangkat Data Center dan proses batch job yang dijalankanMelakukan eskalasi problem kepada tim Internal IT apabila terjadi kegagalan pada perangkat Data Center dan proses Batch Job dan ikut serta memonitor proses troubleshooting yang dilakukan oleh tim Subject Matter Expert terkaitMelakukan pencatatan / Reporting utilitas perangkat Data Center dan proses Batch Job rutin (proses fail dan success)Membuat mitigasi report terkait aktifitas troubleshooting yang dilakukan sebagai Lesson Learn terhadap proses Monitoring Perangkat Data Center & Proses Batch Job selanjutnya.Kualifikasi Personnel:Min Diploma 3 atau Sarjana (S1) Ilmu Komputer, Sistem Informasi, Teknik KomputerPengalamanminimal 1 tahunsebagai Staff Data Center OperationFamiliar dengan perangkat Data Center dan proses Batch Job HarianFamiliar dengansystem operasi Windows Server dan LinuxMemiliki kemampuan Analisa yang baikPengetahuan terkait Jaringan Komputer: Wifi, LAN, WAN, VPN, DNS, TCP / IP, DHCP, Proxy/InternetDisiplin, Proaktif, dan tepat waktuBersedia bekerja secara Shift 24x7"
CREDIT ANALYST (Semarang),PT MIZUHO LEASING INDONESIA TBK,Full,Analisis & PelaporanAnalisis & Pelaporan,Perbankan,,79168700,Deskripsi KerjaMemeriksa dan menganalisa dokumen persyaratan kredit beserta hasil input data dari marketingMelakukan verifikasi dan analisa kredit terhadap kelengkapan dokumen persyaratan kreditMelakukan resurvey atas aplikasi-aplikasi yang telah disetujuiMembuat keputusan persetujuan kredit bersama branch headKualifikasiUsia maksimal 35 tahunPendidikan minimal S1 semua jurusanMemiliki kemampuan yang baik dalam menganalisa suatu dokumen pengajuan kreditTeliti dalam pengambilan keputusanMemiliki pengalaman minimal 2 tahun dibidang yang sama (Perusahaan Multifinance)SLIK/BI Checking Clear
Data Annotator for OCR Model Development,PT. Wine Adore Indonesia,Full,Entri Data & Pengolahan KataEntri Data & Pengolahan Kata,Administrasi,,79148728,"Location: Ungasan, South KutaNo Prior Experience Needed: Full training will be provided.Job Description:WineAdore is seeking reliable and detail-oriented individuals to providing high-quality annotated data for our AI project. This is a simple task that requires no prior technical experience. You will be responsible for identifying and marking the labels on wine bottles in provided images using an easy-to-learn labeling tool. The role requires attention to detail and consistency in the work.Responsibilities:- Annotate and Label Images: Assist in OCR model training by accurately annotating and labeling images of wine labels.- Review and Correct OCR Outputs: Improve model accuracy by reviewing OCR results and making necessary corrections.- Maintain Dataset Consistency: Ensure the annotated dataset is organized and consistent for easy access and updates.- Collaborate with Teams: Work closely with the machine learning and wine product teams to develop and refine annotation guidelines.- Provide Feedback: Offer insights on annotation tools and processes to contribute to continuous improvement.Qualifications:- Strong Attention to Detail: Ability to maintain consistency in repetitive tasks.- Basic Computer Skills: Proficiency with spreadsheets and databases.- In-Office Availability: Ability to work on-site and meet deadlines.- English Proficiency: EF SET score higher than 50/100 or equivalent.- Curiosity and Open Communication: Eager to learn and not afraid to ask questions at any level of the organization when appropriate.Preferred:- Familiarity with Data Annotation Tools: Experience with tools like Label Studio is a plus.- Knowledge of Wine Details: Understanding of Portuguese wines is highly desirable.- Technical Skills: Basic familiarity with Python or OCR technology.This is an ideal opportunity for anyone looking for simple in-office work with no technical expertise required.Persyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, SiangSelasa: Siang, PagiRabu: Pagi, SiangKamis: Pagi, SiangJum'at: Pagi, SiangTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 07 October 2024Gaji yang diinginkan: Rp3,500,000 per bulan"
Data Center Operation (Purwakarta),PT Karya Solusi Prima Sejahtera,Kontrak,Administrasi Jaringan & SistemAdministrasi Jaringan & Sistem,Teknologi,"4.500.000, 5.000.000",79073689,"KUALIFIKASIMinimal pendidikan D3/S1 jurusan Teknik InformatikaMinimal pengalaman 1 tahun sebagai Teknisi Data CenterMemahami operasional data center secara keseluruhanMemahami sistem cloud computing, virtualisasi dan otomatisasi pekerjaanMemahami sistem backup dan recovery untuk lingkungan server dan jaringanKomunikatif dan dapat bekerja secara mandiri maupun teamMemiliki kemampuan penyelesaian masalah yang baik secara teknisMembuat report daily, weekly dan monthlyBersedia shifting pagi/siang/malam"
CREDIT ANALYST,PT MIZUHO LEASING INDONESIA TBK,Full,Analisis & PelaporanAnalisis & Pelaporan,Perbankan,,79167982,Deskripsi KerjaMemeriksa dan menganalisa dokumen persyaratan kredit beserta hasil input data dari marketingMelakukan verifikasi dan analisa kredit terhadap kelengkapan dokumen persyaratan kreditMelakukan resurvey atas aplikasi-aplikasi yang telah disetujuiMembuat keputusan persetujuan kredit bersama branch headKualifikasiUsia maksimal 35 tahunPendidikan minimal S1 semua jurusanMemiliki kemampuan yang baik dalam menganalisa suatu dokumen pengajuan kreditTeliti dalam pengambilan keputusanMemiliki pengalaman minimal 2 tahun dibidang yang sama (Perusahaan Multifinance)SLIK/BI Checking Clear
Data Center Operation (Purwakarta),PT Karya Solusi Prima Sejahtera,Kontrak,Administrasi Jaringan & SistemAdministrasi Jaringan & Sistem,Teknologi,"4.500.000, 5.000.000",79073689,"KUALIFIKASIMinimal pendidikan D3/S1 jurusan Teknik InformatikaMinimal pengalaman 1 tahun sebagai Teknisi Data CenterMemahami operasional data center secara keseluruhanMemahami sistem cloud computing, virtualisasi dan otomatisasi pekerjaanMemahami sistem backup dan recovery untuk lingkungan server dan jaringanKomunikatif dan dapat bekerja secara mandiri maupun teamMemiliki kemampuan penyelesaian masalah yang baik secara teknisMembuat report daily, weekly dan monthlyBersedia shifting pagi/siang/malam"
Data Engineer (ETL),PT. PERSOLKELLY Recruitment Indonesia,Kontrak,Pengembangan & Administrasi DatabasePengembangan & Administrasi Database,Teknologi,"9.000.000, 11.000.000",79085007,"Hi everyone, currently we are looking for Data Engineer (ETL) for our client (outsourced, 1 year contract based) with details as below- Min 2 years experience as Data Engineer (ETL)- Understanding of data warehouse and its design, proficient in ETL/ELT using Talend, with a plus if familiar with PPDM (Public Petroleum Data Model).- Placement: Jakarta (on-site)- Gross Salary: IDR 12.000.000"
Senior Data Analyst,PT Artajasa Pembayaran Elektronis,Full,Analis Bisnis/SistemAnalis Bisnis/Sistem,Teknologi,,79019080,"About Us:PT Artajasa Pembayaran Elektronisis a leading provider of electronic payment solutions in Indonesia. One of our brand, “ATM Bersama” is the pioneer of the first and largest electronic payment system service in Indonesia, which has been connected with more than90 member financial institutions, both Banks and Non-Banks (Fintech, etc)in Indonesia.ATM Bersama is currentlyconnected to more than 80,000 ATMs throughout Indonesiaand also connected tooverseas payment system networks, such as Paynet from Malaysia, JCB from Japan to Al-Rajhi from Saudi Arabia.ATM Bersama services provide convenience for customers to make cash withdrawals, balance checks, and transfers in real-time online at all ATM terminals with the ATM Bersama logo. We are committed to leveraging data-driven insights to enhance our products, optimize our operations, and deliver exceptional value to our clients. We are seeking a detail-oriented and analytical Senior Data Analyst to join our team and help us harness the power of data.Job Overview:Senior Data Analyst will be responsible for collecting, processing, and analyzing data to provide actionable insights that support business decision-making. The successful candidate will work closely with various departments to understand their data needs, develop reports and dashboards, and contribute to data-driven strategies.Key Responsibilities:Collect, process, and analyze large datasets to extract meaningful insights and trends.Develop and maintain dashboards, reports, and visualizations to support business operations and decision-making.Work with cross-functional teams to understand their data needs and provide relevant insights.Perform data validation and ensure data accuracy and integrity.Identify patterns and trends in data to inform business strategies and improve processes.Present findings and recommendations to stakeholders in a clear and concise manner.Collaborate with IT and data engineering teams to ensure the availability and reliability of data.Stay up-to-date with industry trends and best practices in data analysis and visualization.Assist in the development and implementation of data governance policies and procedures.Support ad-hoc data analysis requests and projects as needed.Qualifications:Bachelor’s degree in Statistics, Mathematics, Computer Science, Economics, or a related field.Proven experience as a Data Analyst or in a similar analytical role, preferably within the IT payment or financial services industry.Proficiency in data analysis tools and software, such as SQL, Excel, Python, R, or similar.Experience with data visualization tools, such as Tableau, Power BI, or similar.Strong analytical and problem-solving skills.Excellent attention to detail and accuracy.Good communication and interpersonal skills, with the ability to convey complex data insights to non-technical audiences.Ability to work independently and as part of a team.Familiarity with data warehousing and ETL processes is a plus.Relevant certifications in data analysis or related fields are a plus.What We Offer:Competitive salaryPerformance BonusesComprehensive benefits package, including private health insuranceBPJS KesehatanBPJS KetenagakerjaanFree ParkingOpportunities for professional growth and development.A supportive and collaborative work environment. We have so many employee activities."
Data Scientist to Japan,Elite Tutors Indonesia,Full,Developer/ProgrammerDeveloper/Programmer,Teknologi,"37.765.000, 56.345.000",78889460,"The position is assigned for an IT corporation in Japan.Recruitment agency in Japan is conducted by Indonesia Manpower Solution K. K.Recruitment agency in Indonesia is conducted by Hatarakimasu Indonesia by PT. Elite Tutors Indonesia.Work locations are varied in some prefectures in Japan.The candidate is allowed to work in other company during the program until his/her departure to Japan.Numbers of Recruited Talents:2 Data ScientistsSteps in IndonesiaStep 1Administrative selection in the platform (October 2024);Step 2Administrative selection based on document evidence (October 2024);Step 3Interview in English by the Hatarakimasu Indonesia (November 2024);Step 4Program offer for the training and dispatching program by Hatarakimasu Indonesia (November 2024);Step 5Interview in Japanese by Indonesia Manpower Solution or its Partner (December 2024);Step 6Administrative departure preparation (January to March 2025);Step 7Departure to Japan (April 2025)Steps in JapanStep 8Preparation to live in JapanStep 9Start to work with the RecruiterJob DescriptionThe candidate is responsible to- Create a prediction model using networks, etc.;- Perform anaylsis and hypothesis construction using technologies such as statatistical analysis and clustering, data analysis, algorithm implementation, machine learning (decision tree, logistics regression, random forest, naive Bayes classifier, k-nearest neighbor method, k-means method, neural network) at client destinations (various industries such as IT, manufacturers, finance, and services).RequiredMinimum bachelor degree in engineering, computer science, or science;Experience using programming languages such as Python and R;Experience using framework such as Hadoop and Spark;Japanese proficiency certified by minimum JLPT N3 or equivalent to JFT/NAT TEST;Business level of English proficiencyWelcomeMinimum 5 years of working experience;English proficiency certified by minimum score 6.0 for IELTS or equivalent for iBT TOEFL/TOEIC."
CREDIT ANALYST,PT MIZUHO LEASING INDONESIA TBK,Full,Analisis & PelaporanAnalisis & Pelaporan,Perbankan,,79167982,Deskripsi KerjaMemeriksa dan menganalisa dokumen persyaratan kredit beserta hasil input data dari marketingMelakukan verifikasi dan analisa kredit terhadap kelengkapan dokumen persyaratan kreditMelakukan resurvey atas aplikasi-aplikasi yang telah disetujuiMembuat keputusan persetujuan kredit bersama branch headKualifikasiUsia maksimal 35 tahunPendidikan minimal S1 semua jurusanMemiliki kemampuan yang baik dalam menganalisa suatu dokumen pengajuan kreditTeliti dalam pengambilan keputusanMemiliki pengalaman minimal 2 tahun dibidang yang sama (Perusahaan Multifinance)SLIK/BI Checking Clear
HVAC Engineer - DATA CENTER (Construction),PT YPTT Solutions Indonesia,Full,Teknik Sipil/StrukturalTeknik Sipil/Struktural,Teknik(Teknik)Career,,78900675,"Can join as posible as soonJob Description:1. Responsible for test commissioning & supervision project2. Responsible for the CRAH/CAHU / CFWU HVAC installation process.3. Responsible for the loading and unloading process of the unit and loading the CRAH CAHU unit into the room.Qualifications:1. Min. Diploma Degree Electrical/Machinery Engineering2. Understand electrical installation3. Have experience of HVAC installation CAHU, CRAH, CFWU4. Can understand the installation drawing of CRAH/CAHU HVAC"
"Specialist, Marketing Analyst",PT Sumbawa Timur Mining,Full,Penelitian & Analisis PasarPenelitian & Analisis Pasar,Pemasaran,,78916786,"The Opportunity [Vale Eksplorasi Indonesia]Vale Eksplorasi Indonesia is currently seeking aSpecialist, Marketing Analysisto join ourMarketing teaminJakarta, Indonesia. This is a permanent position. The Specialist, Marketing Analysis will Provide market (demand/supply) analysis and insights on all commodities Vale Base Metals is engaged in (nickel, copper, cobalt, PM, PGMs, OPMs, and any other commodities Vale Base Metals currently produces or sells and considers as part of the acquisition) as directed by Head of Marketing for the geographical region, end-uses(s) and product(s) assignedMain AccountabilitiesTrack key market KPIs, maintain and improve appropriate market demand models and reporting tools to keep the business informed:a. In-depth analysis of market by segment and by commodity covering: ore/concentrate/intermediates volumes, premiums, prices, transfer prices, and contract prices; Vale products, premiums, prices, transfer prices, and contract prices; First use and end use consumption; government policy impacting the region; nickel supply chain disruptions from changes in technology use.b. Facilitate organizational comprehension of internal and external analysis of markets and industry, qualifying such analysis through the lens of market intelligence, with input from operations, as well as the commercial and marketing teams.Maintain and improve comprehensive models that track market KPIs, archive historic and projected future demand by region and segment as assigned by Market Manager – models must be aligned with Market specific views (updated monthly/quarterly), and also consider IBP expectations (24 month, monthly time horizon) and strategy (annual 2 to 10+ year time horizon).Contribute to on-going internal reporting (weekly, monthly, quarterly, paper and live) to executive audience, internal broader audience, external audience (customer, government, analysts and investors).Participate in appropriate discussions around market opportunities and threats to support short-term and long-term business and strategic planning, including regulatory or technological shocks.Engage with commercial sales, technical marketing (product managers) and Business Development experts for insights into segment, product, and geographical market developments.Prepare, and present, innovative and original presentations on the markets as directed by Market Manager on any of the commodities Vale Base Metals is engaged in (as appropriate).Prepare innovative and original research into markets as directed by the Market Manager on any of the commodities Vale Base Metals is engaged in (as appropriate) or has an interest in that identifies, analyzes, and predicts the impact of emerging trends in demand.Maintain system/process to manage information on demand for all commodities in which Vale Base Metals is engaged for use in short-term and long-term market demand forecasts and market balances, short-term pricing models, and long-term pricing outlooks.Identify and support potential market opportunities that are identified through market, price, and product research and in-depth knowledge.Contribute to the forecasting of short-term and long-term pricingSupport the efforts of Vale Base Metals Executive Director and Vale Investor Relations by providing information and/or materials necessary for discussion with the market (investors, analysts, etc.).Respond to ad hoc requests, as appropriate, in an accurate and timely manner.About You8-10 years of relevant experience.Solid knowledge of the end-uses/products served by Vale Base Metals.Advanced analytics modeling.Advanced Excel modeling required, including; dynamic pivot analysis, VBA creation, and statistical analysis.Power BI experience preferred.Financial analysis.Experience analyzing company reports for key insights and summarizing competitive analysis.DCF modeling experience preferred.Polished presentation and communication skills.MS Office / Open Office (or similar).Fluent in English and Bahasa."
Data Entry,PT SITI KHADIJAH NUSANTARA,Full,Entri Data & Pengolahan KataEntri Data & Pengolahan Kata,Administrasi,,79024975,"Pendidikan:Minimal D3/S1 di bidang Akuntansi, Keuangan, atau bidang terkait.Pengalaman:Pengalaman minimal 1 tahun di posisi yang sama, terutama di departemen Finance atau Accounting.Keterampilan Teknis:Menguasai perangkat lunak Microsoft Office, terutama Excel.Familiar dengan software akuntansi (misalnya, SAP, QuickBooks, atau software sejenis).Memahami aplikasi pengelolaan data seperti Google Sheets atau aplikasi berbasis cloud lainnya.Kemampuan Data:Mampu memasukkan, memverifikasi, dan mengolah data dengan akurat.Memahami dasar-dasar perpajakan dan laporan keuangan.Detail dan Ketelitian:Memiliki perhatian yang tinggi terhadap detail dan ketelitian dalam pekerjaan.Kemampuan Komunikasi:Kemampuan komunikasi yang baik, baik lisan maupun tulisan.Kemampuan Manajemen Waktu:Mampu bekerja di bawah tekanan dan memenuhi tenggat waktu.Sikap Profesional:Memiliki integritas dan etika kerja yang tinggi.Deskripsi Pekerjaan (Job Description)Jabatan: Staff Data EntryDepartemen: Finance, Accounting, dan TaxTugas dan Tanggung Jawab:Memasukkan Data:Memasukkan data ke dalam sistem akuntansi dan database dengan akurat dan tepat waktu.Verifikasi Data:Memeriksa dan memverifikasi keakuratan data yang dimasukkan, serta melakukan koreksi jika diperlukan.Pengolahan Data:Mengolah dan menyusun laporan keuangan serta dokumen terkait pajak sesuai dengan standar yang ditetapkan.Dukungan Administratif:Memberikan dukungan administratif kepada tim Finance dan Accounting dalam pengumpulan dan pengolahan informasi.Kolaborasi Tim:Bekerja sama dengan anggota tim lainnya untuk memastikan kelancaran proses dan penyampaian informasi yang diperlukan.Penyimpanan Dokumen:Mengelola dan menyimpan dokumen serta data dengan rapi dan sistematis.Kepatuhan:Memastikan semua data dan dokumen sesuai dengan kebijakan perusahaan dan peraturan perpajakan yang berlaku.Kualifikasi:Memiliki kemampuan analitis yang baik.Mampu bekerja secara mandiri maupun dalam tim."
Admin,Pengiklan Anonim,Full,Asisten AdministratifAsisten Administratif,Administrasi,,79024487,"Usia 18 – 30 tahunMampu mengoperasikan komputer Ms. OfficeJujur , Displin dan bertanggung jawabDitempatkan di kota Medan danbersedia dinas keluar kota"
Research & Development,PT Bursa Komoditi Dan Derivatif Indonesia,Full,Analisis & PelaporanAnalisis & Pelaporan,Perbankan,,79180187,"Qualifications & experienceMinimal Bachelor degree in Economic, Statistics, or Financial related field.Minimal 1 year of experience in related field. Fresh graduate with intern can apply.Able to work under pressure, innovative, positive attitude, teamwork-person, time management, adaptable, stress tolerant.Have experience creating scientific papersExcel savvyFluent in english (written and oral)Tasks & responsibilitiesCreate analysis reports on market and economic conditionsMake a contract reviewProcessing and analyze market data"
Real Time Analyst,PT Concentrix Services Indonesia,Full,Manajemen & DukunganManajemen & Dukungan,Call,,79141579,"Key Responsibilities:RTA will act as a liaison between the Centralized and Site WFM teams.Preparation of daily / Weekly / Monthly MIS reports & presentations / decksPreparing of schedules using Erlang for different queues across multiple locationsResolve escalated issues and requests from site managementRoot cause analysis of SLA deviations, action plan development and resolutionMonitor real-time queue, schedule adherence & attendance.Key daily exception requests and update schedulesCross-train with Scheduling AnalystOptimize breaks the day of or day before the actual scheduleSchedule ADHOC intra-day training requests and update schedulesProduce and analyze daily efficiency reports (representative availability, access level etc.)Attend centralized and/or site management meeting, as requiredCater to real time adhoc requests as and when requiredSkillsRequired good communication skill.Required good knowledge of MS Excel & Power point.Proficiency with computersWilling to work 24*7Candidate with Scheduling skill will be preferred.Ability to handle pressure situationsDrive for self-learning and knowledge enhancement"
IT Business Analyst (BA) for application programming,PT Palung Data Sistem,Kontrak,Analis Bisnis/SistemAnalis Bisnis/Sistem,Teknologi,"11.000.000, 16.000.000",78921286,"Background & ExperienceBachelor Degree (S1) from IT/IS/Computing major of reputable UniversityAt least 3-year experience in .NET platform developmentAt least 2-year experience as IT Business Analyst in Banking ApplicationNo later than 29 years old of ageStrong skills and experience in Banking business, saving, loan and taxingStrong skills and experience in developer programming workflowsProficient in preparing and translating user requirement to technical termsExcellence analytical skills in problem solving and enhancing existing applicationIndependent, self-motivated, good collaboration and time-management skillsGood English Skills, speaking and writing (Interview will be in English)Previous programming experience inbanking and/or insurancewill be on top listDuty & ResponsibilityBe part of projects and follows direction from Team Leader and/or Project ManagerResearch, collaborate, plan and translate user requirement for programmingMonitor progress, milestones and fine tuning undergoing projects to specificationCollaborating with team members, suggest and follow any team outcomeWrites a good documentation and managing task lists, schedules in EnglishManage time, deadlines, results and reporting to Project Manager"
CREDIT ANALYST MOTOR - BIMA,PT Mega Central Finance,Full,Analisis & PelaporanAnalisis & Pelaporan,Perbankan,,79169806,"Tugas & Tanggung Jawab :Melakukan analisa kelayakan kredit calon konsumen berdasarkan data pengajuan kredit konsumenMelakukan analisa performance kredit dari bisnis yang terkait, dan memberikan rekomendasi kebijakan kredit yang perlu diterapkanMelakukan pengembangan system / process analisa kelayakan kredit konsumenKualifikasi :Usia maksimal 35 tahunMemiliki pengalaman di bidang credit / risk minimal 2 tahun di perusahaan pembiayaan Mobil, Motor & Dana TunaiPendidikan minimal S1 (semua jurusan)Dapat mengoperasikan komputer, Ms. Office dan terbiasa mengolah dataAnalitis, detail, tekun dan suka bekerja dengan angkaMemiliki standar kerja yang tinggiIndependent dan mampu bekerja di bawah tekananSiap mobilePenempatan : Jl.Soekarno Hatta No.171 RT.005 RW.002 Kel Paruga Kec. Rasana'e Barat Bima 84111"
STAFF ADMINISTRASI OFFICE,PT. Garment Indo Utama,Full,Asisten AdministratifAsisten Administratif,Administrasi,"5.200.000, 6.500.000",79175247,"PT. GARMEN INDO UTAMA  sedang membuka lowongan kerja posisi STAFF ADMINISTRASI OFFICE .kami butuh orang yang siap pakai, menguasai mc word, mempu mengetik, mempunyai loyalitas tinggi dalam bekerja, boleh lulusan baru, maksimal sma\smk sederajat.kami memberikan gaji bulanan, uang makan dan penganti transportasi, memberikan bpjs kesehatan, dan membuka jenjang karir bagi anda yang mempunyai kulitas yang tinggi dalam bekerja,"
ABAP SAP,PT PESONNA OPTIMA JASA,Kontrak,Developer/ProgrammerDeveloper/Programmer,Teknologi,,79053494,"Deskripsi Pekerjaan:Mengerjakan semua aspek siklus hidup pengembangan perangkat lunak (SDLC) Aplikasi SAP, mulai dari mengumpulkan persyaratan dan spesifikasi SAP, menganalisis, merancang, mendokumentasikan, mengkode, menguji, mengkonfigurasi, menerapkan, mengimplementasikan, dan memelihara sistem dan aplikasi. Berkerjasama dengan Bisnis Analis dan tim teknis lainnya untuk memastikan bahwa aplikasi SAP memenuhi kebutuhan bisnisPersyaratan:Minimal D3 dari Jurusan Teknik Informatika, Sistem Informatika, Teknik Komputer, Manajemen Informatika, Teknik Elektro, Matematika, atau Statistik;IPK minimal 2,75;Memiliki ⁠Pengalaman sebagai ABAPer SAP minimal 1 (satu) tahun;Memiliki kemampuan yang mendalam tentang bahsa pemprograman SAPMemiliki pengalaman dengan pemprograman berbasis objek, objek ABAP dan ABAP Workbench⁠Memiliki pengalaman dengan teknologi SAP lainnya seperti Business ObjectsAktif dan mempunyai kemampuan belajar dengan cepat;Dapat bekerja secara mandiri tanpa pengawasan maupun bekerjasama dalam kelompok;Mampu bekerja di bawah tekanan dan deadline;Mampu berkomunikasi dengan baik, baik dalam Bahasa Indonesia maupun Inggris;Bersedia Full WFO di kantor PT Pegadaian (Jl. Salemba Raya No. 2 Jakarta Pusat).Nilai tambah bagi yang memiliki keahlian:Menguasai / memahami Database NoSQL (MongoDB);Memahami dan dapat mengimplementasikan CI/CD, Secure Coding dan Design Pattern;Paham Agile Method;"
Business Analyst for Laboratory Services (Tangerang),Siloam Hospitals Group (Tbk),Full,Analis Bisnis/SistemAnalis Bisnis/Sistem,Teknologi,,79085953,"Job Responsibilities:Support Ancillary director in providing various business information and Prepare slide for business presentation.Gathering Information from various resources, learning data collection and utilizing available tools for faster data collection.Translating the data into usefull information, Supporting KAM and PRO in reviewing visit report, revenue performance for each FF and help to calculate incentive for PRO.Helping Ancillary in preparing the project plan, gather data needed for approval process and monitoring the project progressRequirements:Advanced Microsoft Excel & Powerpoint skills for numbers crunching and creating a professionally designed presentationStrong data and number analysis, having the ability to generate business insights from data patterns, and to propose different models/approach on a data setIs a team player, good in rapport building with cross internal stakeholdersAble to work under deadline pressureWilling to be placed in Karawaci, Tangerang."
Data Management Specialist,PT Andika Mitra Sejati,Full,Pengembangan & Administrasi DatabasePengembangan & Administrasi Database,Teknologi,,78952415,Requirement:D3/ S1 semua jurusan dan terbuka bagi fresh graduatesMemiliki kemampuan komunikasi yang baikDapat berkomunikasi dengan Bahasa Inggris baik lisan maupun tulisanMenguasai MS OfficeMemiliki kemampuan administrasi yang baikResponsive dan memiliki kemampuan time management yang baikTugas dan tanggung jawab:Melakukan proses administrasi movementMelakukan follow upPengelolaan data peserta updateMenghitung invoice (tagihan dana refund)
Commercial PMO & Analyst,PT Mitra Indo Maju,Full,Manajemen ProyekManajemen Proyek,Konstruksi(Konstruksi)4,,79115932,"Job DescriptionAssist the commercial director in framing business problems; locate and evaluate relevant data in order to resolve strategic business issues.Conduct the requisite quantitative or qualitative research and review for the Management Team to produce deep recommendations.Method mapping and business process improvement, as well as a results dashboard, are among the items to prepare and finalize.Craft effective and persuasive presentations.Plan, develop, and monitor quality as well increasing the adoption of key result and performance indicator of the organization.Finding and analyzing relevant data to solve strategic business issues.Working with strategic initiatives & project-related tasks.Project management, to initiate and monitor closely progress of the project assigned, getting clear of root cause and roadblocks to ensure smooth execution in timely mannerRequirements :Bachelor's degree in business administration, management, accounting, data, statistic, or other related fieldMinimum 5+ years of relevant experience in the data analyst and project management is needed.Have excellent project management and business planning expertise, as well as the ability to bridge the gap between strategy and operations.Analytical capability is critical in this role.Great problem solver with a lot of resourcesSelf starter, work well under pressure and minimum supervisionRecognize business processes around the enterprise and suggest ways to increase productivityExecute initiatives, lead, collaborate and manage the end to end projectMonitor initiative progress in a timely mannerUnderstand business processes across the organization and propose efficiency improvementsProficient in excel, powerpoint and other data related toolsNeat, meticulous and well structured personality"
Data Engineer,PT Mitra Informatika,Full,Pengembangan & Administrasi DatabasePengembangan & Administrasi Database,Teknologi,"4.300.000, 6.000.000",78973035,"Job Description1. Perform ETL (Extract, Transform, Load)2. Models data structure from product needs to database tables3. Perform query testing on large datasets, & define the best practices of data query style to meet business requirement4. Define best practices for data migration & conversion5. Monitor ETL ProcessQualifications1. Bash/Java/Python2. Data modeling3. Microsoft Excel4. Experience using Unix/Linux system5. Ability to learn new technology6. Strong technical thinking to address problems & solutions7. Responsible, honest, communicative, & having integrity8. Able to work independently & in a group9. Open to all degrees of education, as long as having knowledge/experience minimum 1 year in the related fieldBenefits• Join very attractive and unique team that represent quality of generation• Healthy and cozy working environment• Handle big customer, big real problems• Free lunch• Working tools (Laptop, etc)• Fun and humble company culture without any politics"
